Gemeente;Stad/Gem.;Provincie;Oppervlakte (km²);Aantal inwoners (01/01/2023);Deelgemeenten;Path
Ichtegem;gem.;West-Vlaanderen;45,33;14.355;Ichtegem, Bekegem, Eernegem;path83
Ieper;stad;West-Vlaanderen;130,61;35.387;Ieper, Brielen, Dikkebus, Sint-Jan, Hollebeke, Voormezele, Zillebeke, Boezinge, Zuidschote, Elverdinge, Vlamertinge;path90
Ingelmunster;gem.;West-Vlaanderen;16,16;11.454;Ingelmunster;path107
Izegem;stad;West-Vlaanderen;25,48;29.013;Izegem, Emelgem, Kachtem;path106
Jabbeke;gem.;West-Vlaanderen;53,76;14.539;Jabbeke, Snellegem, Stalhille, Varsenare, Zerkegem;path75
Kalmthout;gem.;Antwerpen;59,45;19.422;Kalmthout;path131
Kampenhout;gem.;Vlaams-Brabant;33,49;12.445;Kampenhout, Berg, Buken, Nederokkerzeel;path259
Kapellen;gem.;Antwerpen;37,11;27.743;Kapellen;path130
Kapelle-op-den-Bos;gem.;Vlaams-Brabant;15,25;9.659;Kapelle-op-den-Bos, Nieuwenrode, Ramsdonk;path243
Kaprijke;gem.;Oost-Vlaanderen;33,71;6.587;Kaprijke, Lembeke;path4
Kasterlee;gem.;Antwerpen;71,52;19.478;Kasterlee, Lichtaart, Tielen;path147
Keerbergen;gem.;Vlaams-Brabant;18,39;13.196;Keerbergen;path247
Kinrooi;gem.;Limburg;54,76;12.330;Kinrooi, Kessenich, Molenbeersel, Ophoven;path205
Kluisbergen;gem.;Oost-Vlaanderen;30,38;6.874;Berchem, Kwaremont, Ruien, Zulzeke;path57
Knokke-Heist;gem.;West-Vlaanderen;56,44;32.645;Knokke, Westkapelle, Heist, Ramskapelle;path70
Koekelare;gem.;West-Vlaanderen;39,19;8.870;Koekelare, Bovekerke, Zande;path78
Koksijde;gem.;West-Vlaanderen;43,96;21.664;Koksijde, Oostduinkerke, Wulpen;path63
Kontich;gem.;Antwerpen;23,67;21.624;Kontich, Waarloos;path170
Kortemark;gem.;West-Vlaanderen;55;12.873;Kortemark, Handzame, Werken, Zarren;path82
Kortenaken;gem.;Vlaams-Brabant;49,1;7.970;Kortenaken, Ransberg, Hoeleden, Kersbeek-Miskom, Waanrode;path315
Kortenberg;gem.;Vlaams-Brabant;34,52;20.920;Kortenberg, Erps-Kwerps, Everberg, Meerbeek;path293
Kortessem;gem.;Limburg;33,9;8.726;Kortessem, Vliermaalroot, Wintershoven, Guigoven, Vliermaal;path232
Kortrijk;stad;West-Vlaanderen;80,02;78.944;Kortrijk, Bissegem, Heule, Bellegem, Kooigem, Marke, Rollegem, Aalbeke;path118
Kraainem;gem.[3];Vlaams-Brabant;5,8;14.051;Kraainem;path271
Kruibeke;gem.;Oost-Vlaanderen;33,42;17.056;Kruibeke, Bazel, Rupelmonde;path20
Kruisem;gem.;Oost-Vlaanderen;70,7;15.952;Huise, Kruishoutem, Nokere, Ouwegem, Wannegem-Lede, Zingem;path42
Kuurne;gem.;West-Vlaanderen;10,01;14.033;Kuurne;path119
Laakdal;gem.;Antwerpen;42,48;16.707;Eindhout, Vorst, Varendonk, Veerle;path197
Laarne;gem.;Oost-Vlaanderen;32,07;12.528;Laarne, Kalken;path27
Lanaken;gem.;Limburg;59;26.270;Lanaken, Gellik, Neerharen, Veldwezelt, Rekem;path222
Landen;stad;Vlaams-Brabant;54,05;16.284;Landen, Eliksem, Ezemaal, Laar, Neerwinden, Overwinden, Rumsdorp, Wange, Waasmont, Walsbets, Walshoutem, Wezeren, Attenhoven, Neerlanden;path287
Langemark-Poelkapelle;gem.;West-Vlaanderen;52,53;8.015;Bikschote, Langemark, Poelkapelle;path91
Lebbeke;gem.;Oost-Vlaanderen;26,92;19.925;Lebbeke, Denderbelle, Wieze;path40
Lede;gem.;Oost-Vlaanderen;29,69;19.160;Lede, Impe, Oordegem, Smetlede, Wanzele;path46
Ledegem;gem.;West-Vlaanderen;24,76;9.770;Ledegem, Rollegem-Kapelle, Sint-Eloois-Winkel;path105
Lendelede;gem.;West-Vlaanderen;13,15;5.863;Lendelede;path115
Lennik;gem.;Vlaams-Brabant;30,8;9.431;Gaasbeek, Sint-Kwintens-Lennik, Sint-Martens-Lennik;path298
Leopoldsburg;gem.;Limburg;22,49;16.407;Leopoldsburg, Heppen;path211
Leuven;stad;Vlaams-Brabant;56,63;103.009;Leuven, Heverlee, Kessel-Lo, Wilsele, Wijgmaal;path261
Lichtervelde;gem.;West-Vlaanderen;25,93;9.166;Lichtervelde;path94
Liedekerke;gem.;Vlaams-Brabant;10,08;13.877;Liedekerke;path294
Lier;stad;Antwerpen;49,7;37.909;Lier, Koningshooikt;path188
Lierde;gem.;Oost-Vlaanderen;26,13;6.805;Deftinge, Sint-Maria-Lierde, Hemelveerdegem, Sint-Martens-Lierde;path52
Lievegem;gem.;Oost-Vlaanderen;80,17;26.979;Zomergem, Oostwinkel, Ronsele, Lovendegem, Vinderhoute, Waarschoot, Beke;path6
Lille;gem.;Antwerpen;59,4;16.871;Lille, Gierle, Poederlee, Wechelderzande;path146
Linkebeek;gem.[3];Vlaams-Brabant;4,15;4.640;Linkebeek;path314
Lint;gem.;Antwerpen;5,57;8.548;Lint;path171
Linter;gem.;Vlaams-Brabant;36,37;7.317;Drieslinter, Melkwezer, Neerhespen, Neerlinter, Orsmaal-Gussenhoven, Overhespen, Wommersom;path284
Lochristi;gem.;Oost-Vlaanderen;60,34;23.073;Lochristi, Beervelde, Zaffelare, Zeveneken;path16
Lokeren;stad;Oost-Vlaanderen;67,5;43.064;Lokeren, Daknam, Eksaarde;path17
Lommel;stad;Limburg;102,37;34.826;Lommel;path200
Londerzeel;gem.;Vlaams-Brabant;36,29;19.288;Londerzeel, Malderen, Steenhuffel;path242
Lo-Reninge;stad;West-Vlaanderen;62,94;3.237;Lo, Noordschote, Pollinkhove, Reninge;path80
Lubbeek;gem.;Vlaams-Brabant;46,13;14.911;Lubbeek, Linden, Binkom, Pellenberg;path278
Lummen;gem.;Limburg;53,38;15.366;Lummen, Linkhout, Meldert;path224
Maarkedal;gem.;Oost-Vlaanderen;46,63;6.340;Etikhove, Maarke-Kerkem, Nukerke, Schorisse;path58
Maaseik;stad;Limburg;76,94;25.737;Maaseik, Neeroeteren, Opoeteren;path209
